year,country,impact
1978,SGP,0.011940562762571987
1978,NOR,0.01472822757342075
1978,NGA,0.017699600982887136
1978,VEN,0.022624670233290733
1978,IDN,0.020033348391915264
1978,CHN,0.016004946110802307
1978,IRN,0.013843994651439324
1978,MEX,0.027685929011075416
1978,LBY,0.015815114741305158
1978,KWT,0.011809837473388467
1978,POL,0.007774856979742458
1978,ARE,0.011602122389422582
1979,USA,0.060330882984143824
1979,DEU,0.05364552712287473
1979,JPN,0.04768687853947556
1979,FRA,0.042390980316298225
1979,GBR,0.0404492158624651
1979,ITA,0.03738365981563849
1979,NLD,0.0401962683214083
1979,CAN,0.05211970987699544
1979,SAU,0.030438602112763193
1979,CHE,0.027912131545844467
1979,SWE,0.02051436753194311
1979,ESP,0.013831677611122289
1979,AUS,0.019123153411750048
1979,KOR,0.022542055798890726
1979,SGP,0.012904970254567018
1979,AUT,0.026815769707594996
1979,HKG,0.01735198739648013
1979,DNK,0.016752115182294372
1979,BRA,0.017567354875089525
1979,NOR,0.01615823551399067
1979,CHN,0.0168396286617405
1979,NGA,0.02079759911792546
1979,MEX,0.030508141984030207
1979,VEN,0.022850952565260735
1979,LBY,0.017439499300297416
1979,KWT,0.014390812754519127
1979,IDN,0.021256162703259134
1979,ARE,0.012294778997815472
1979,MYS,0.011672925577072292
1979,FIN,0.006795384370768805
1980,USA,0.059673387843747816
1980,DEU,0.05181190986657594
1980,JPN,0.0484241189183531
1980,FRA,0.04110035501039373
1980,GBR,0.040439704038149345
1980,ITA,0.0362506196798098
1980,NLD,0.03844062838230685
1980,SAU,0.03432375869898169
1980,CAN,0.050494435391081775
1980,CHE,0.026841893097530746
1980,SWE,0.01953206686778253
1980,ESP,0.013486931912046956
1980,SGP,0.013908875724994768
1980,HKG,0.01810062841185613
1980,AUS,0.019118499478715332
1980,BRA,0.01790760473660556
1980,MEX,0.03435889992233825
1980,AUT,0.02616613521701544
1980,KOR,0.020390262436452422
1980,CHN,0.019090756321462784
1980,IDN,0.02445672314047617
1980,NOR,0.018234072754878105
1980,DNK,0.015281299591974008
1980,LBY,0.018821745248702688
1980,ARE,0.018745333762926288
1980,VEN,0.021347112035050672
1980,KWT,0.01243042958423775
1980,DZA,0.01821116210957765
1980,MYS,0.012050182989553529
1980,FIN,0.0073265214023467175
1981,USA,0.06140905907079075
1981,DEU,0.047466906230465546
1981,JPN,0.05066667127709352
1981,FRA,0.0377045055683181
1981,GBR,0.03954661476765772
1981,ITA,0.032740375475240356
1981,SAU,0.03573722830485424
1981,NLD,0.03484265605588603
1981,CAN,0.05230998528754994
1981,CHE,0.023578419606149037
1981,SWE,0.016706075822239774
1981,ESP,0.013041479419487242
1981,SGP,0.015265933061548992
1981,MEX,0.03588709632444061
1981,HKG,0.019372289252952486
1981,AUS,0.02113730654569282
1981,BRA,0.017724815145245425
1981,KOR,0.021949762166316604
1981,CHN,0.020130422060119904
1981,IDN,0.025621551271038698
1981,AUT,0.022966184801264698
1981,NGA,0.017658250021407522
1981,NOR,0.0173516859401675
1981,VEN,0.021887634774412756
1981,ARE,0.018786604841668175
1981,LBY,0.014451574043754363
1981,DNK,0.013156960316691202
1981,IRQ,0.008872589797854085
1981,MYS,0.01167503834057953
1981,DZA,0.012389344592139723
1982,USA,0.06125593785190541
1982,DEU,0.04928239951098166
1982,JPN,0.05117837548575312
1982,FRA,0.03933545479116365
1982,GBR,0.04048809136296693
1982,ITA,0.03358474583440349
1982,NLD,0.03636384975875412
1982,CAN,0.05225609701536771
1982,SAU,0.03282227457455757
1982,CHE,0.024493661721497605
1982,SGP,0.016283891224432603
1982,ESP,0.014411719888644623
1982,SWE,0.017329675738968722
1982,AUS,0.021328571197555296
1982,HKG,0.02011716087539218
1982,KOR,0.02418147455926289
1982,MEX,0.03370398087387496
1982,BRA,0.0181414511989977
1982,CHN,0.019077952908432807
1982,IDN,0.02653796680520862
1982,NOR,0.01694275872311479
1982,AUT,0.023925078816309946
1982,IRQ,0.0090989319875167
1982,DNK,0.01452173548861263
1982,VEN,0.02174042066889915
1982,NGA,0.014471615635333206
1982,IRN,0.008157890216292442
1982,MYS,0.012786869678787826
1982,ARE,0.017011702630387874
1982,LBY,0.01203353606985926
1983,USA,0.06487899258353955
1983,DEU,0.05002926541229003
1983,JPN,0.05343274015507865
1983,GBR,0.04124388345978338
1983,FRA,0.03904192139010425
1983,ITA,0.033727443243477186
1983,CAN,0.05596386511979603
1983,NLD,0.03688385733406867
1983,SAU,0.030345795457127664
1983,CHE,0.025005411982041613
